obra,productora,anio_inicio,anio_fin,teatro,gira,activa,duracion,genero,origen,id_produccion,anio_fin_filled
Grease,Drive Entertainment,2011,2014,Las Arenas,True,False,150,Comedia,Franquicia,GREASE_DRIVE ENTERTAINMENT_2011_LAS ARENAS,2014
Grease,ATG Entertainment,2021,2023,Teatro Nuevo Alcalá,True,False,150,Comedia,Franquicia,GREASE_ATG ENTERTAINMENT_2021_TEATRO NUEVO ALCALÁ,2023
Gypsy,Teatro del Soho S.L.,2024,2025,Teatro Del Soho,False,False,180,Drama,Franquicia,GYPSY_TEATRO DEL SOHO S.L._2024_TEATRO DEL SOHO,2025
Hair,The William Morris Agency Endeavor Entertainment; Illuminati Production Group; Publintermedia Consulting; JK Productions,2010,2011,Teatre Apolo,False,False,150,Drama,Franquicia,HAIR_THE WILLIAM MORRIS AGENCY ENDEAVOR ENTERTAINMENT; ILLUMINATI PRODUCTION GROUP; PUBLINTERMEDIA CONSULTING; JK PRODUCTIONS_2010_TEATRE APOLO,2011
Houdini,Let's Go Company,2025,,Teatro Calderón,False,True,95,Biografico,Franquicia,HOUDINI_LET'S GO COMPANY_2025_TEATRO CALDERÓN,2025
Kinky Boots,Let's Go Company,2021,2022,Espacio Delicias,False,False,130,Comedia,Franquicia,KINKY BOOTS_LET'S GO COMPANY_2021_ESPACIO DELICIAS,2022
Kinky Boots,Theatre Properties,2024,2025,Teatro Rialto,True,False,130,Comedia,Franquicia,KINKY BOOTS_THEATRE PROPERTIES_2024_TEATRO RIALTO,2025
La Alegría que Pasa,Dagoll Dagom,2022,2023,Teatre Poliorama,True,False,90,Drama,Creación Propia,LA ALEGRÍA QUE PASA_DAGOLL DAGOM_2022_TEATRE POLIORAMA,2023
La Familia Addams,Let's Go Company,2017,2018,Teatro Calderón,True,False,140,Familiar,Franquicia,LA FAMILIA ADDAMS_LET'S GO COMPANY_2017_TEATRO CALDERÓN,2018
La Historia Interminable,Beon Entertainment,2022,2024,Teatro Calderón,True,False,160,Familiar,Creación Propia,LA HISTORIA INTERMINABLE_BEON ENTERTAINMENT_2022_TEATRO CALDERÓN,2024
La Jaula de las Locas,Nostromo Live,2018,2020,Teatro Tívoli,True,False,120,Comedia,Franquicia,LA JAULA DE LAS LOCAS_NOSTROMO LIVE_2018_TEATRO TÍVOLI,2020
La Llamada,Suma Latina / Los Javis,2013,,Teatro Lara,True,True,95,Comedia,Creación Propia,LA LLAMADA_SUMA LATINA / LOS JAVIS_2013_TEATRO LARA,2025
La bella y la bestia,Stage Entertainment,2012,2013,Teatro Calderón,True,False,160,Familiar,Franquicia,LA BELLA Y LA BESTIA_STAGE ENTERTAINMENT_2012_TEATRO CALDERÓN,2013
"La movida,el musical",Theatre Properties,2024,2025,Teatro Coliseum,True,False,130,Jukebox,Creación Propia,"LA MOVIDA,EL MUSICAL_THEATRE PROPERTIES_2024_TEATRO COLISEUM",2025
Los Miserables,ATG Entertainment,2025,,Teatro Nuevo Apolo,False,True,170,Drama,Franquicia,LOS MISERABLES_ATG ENTERTAINMENT_2025_TEATRO NUEVO APOLO,2025
Los Pilares de la Tierra,Beon Entertainment,2024,,Teatro EDP Gran Vía,True,True,175,Drama,Creación Propia,LOS PILARES DE LA TIERRA_BEON ENTERTAINMENT_2024_TEATRO EDP GRAN VÍA,2025
Los Productores,Nostromo Live,2023,2024,Teatro Tívoli,True,False,150,Comedia,Franquicia,LOS PRODUCTORES_NOSTROMO LIVE_2023_TEATRO TÍVOLI,2024
Los puentes de Madison,SMedia,2022,2023,Teatro EDP Gran Vía,False,False,120,Drama,Franquicia,LOS PUENTES DE MADISON_SMEDIA_2022_TEATRO EDP GRAN VÍA,2023
Malinche,Hatchwell Inversiones Musicales S.L.,2022,2025,Ifema Madrid Live,True,False,175,Drama,Creación Propia,MALINCHE_HATCHWELL INVERSIONES MUSICALES S.L._2022_IFEMA MADRID LIVE,2025
Mamma Mia!,ATG Entertainment,2022,,Teatro Rialto,True,True,140,Jukebox,Franquicia,MAMMA MIA!_ATG ENTERTAINMENT_2022_TEATRO RIALTO,2025
Mari i Cel,Dagoll Dagom,2024,2025,Teatre Victòria,True,False,155,Drama,Creación Propia,MARI I CEL_DAGOLL DAGOM_2024_TEATRE VICTÒRIA,2025
Marta tiene un marcapasos,Smedia,2013,2014,Teatro EDP Gran Vía,True,False,160,Jukebox,Creación Propia,MARTA TIENE UN MARCAPASOS_SMEDIA_2013_TEATRO EDP GRAN VÍA,2014
Mas de 100 mentiras,Drive Entertainment,2011,2013,Teatro Rialto,True,False,170,Jukebox,Creación Propia,MAS DE 100 MENTIRAS_DRIVE ENTERTAINMENT_2011_TEATRO RIALTO,2013
Matilda,ATG Entertainment,2022,2024,Teatro Nuevo Alcalá,False,False,120,Familiar,Franquicia,MATILDA_ATG ENTERTAINMENT_2022_TEATRO NUEVO ALCALÁ,2024
My fair lady,Stage Entertainment,2012,2012,Auditorio de Tenerife,True,False,165,Comedia,Franquicia,MY FAIR LADY_STAGE ENTERTAINMENT_2012_AUDITORIO DE TENERIFE,2012
Pegados,Ferran González & Alícia Serrat,2010,2013,Almería Teatre,True,False,80,Comedia,Creación Propia,PEGADOS_FERRAN GONZÁLEZ & ALÍCIA SERRAT_2010_ALMERÍA TEATRE,2013
"Priscilla, reina del desierto",ATG Entertainment,2014,2015,Teatro Nuevo Alcalá,True,False,150,Comedia,Franquicia,"PRISCILLA, REINA DEL DESIERTO_ATG ENTERTAINMENT_2014_TEATRO NUEVO ALCALÁ",2015
Quien mató a Sherlock Holmes?,Beon Entertainment,2020,2021,Teatro EDP Gran Vía,False,False,105,Comedia,Creación Propia,QUIEN MATÓ A SHERLOCK HOLMES?_BEON ENTERTAINMENT_2020_TEATRO EDP GRAN VÍA,2021
