id_produccion,obra,productora,anio_inicio,anio_fin,teatro,gira,activa,id_obra,id_teatro
HAIR_THE WILLIAM MORRIS AGENCY ENDEAVOR ENTERTAINMENT; ILLUMINATI PRODUCTION GROUP; PUBLINTERMEDIA CONSULTING; JK PRODUCTIONS_2010_TEATRE APOLO,Hair,The William Morris Agency Endeavor Entertainment; Illuminati Production Group; Publintermedia Consulting; JK Productions,2010,2011,Teatre Apolo,False,False,32,10
HOUDINI_LET'S GO COMPANY_2025_TEATRO CALDERÓN,Houdini,Let's Go Company,2025,,Teatro Calderón,False,True,33,20
KINKY BOOTS_LET'S GO COMPANY_2021_ESPACIO DELICIAS,Kinky Boots,Let's Go Company,2021,2022,Espacio Delicias,False,False,34,21
KINKY BOOTS_THEATRE PROPERTIES_2024_TEATRO RIALTO,Kinky Boots,Theatre Properties,2024,2025,Teatro Rialto,True,False,34,22
LA ALEGRÍA QUE PASA_DAGOLL DAGOM_2022_TEATRE POLIORAMA,La Alegría que Pasa,Dagoll Dagom,2022,2023,Teatre Poliorama,True,False,35,23
LA FAMILIA ADDAMS_LET'S GO COMPANY_2017_TEATRO CALDERÓN,La Familia Addams,Let's Go Company,2017,2018,Teatro Calderón,True,False,36,20
LA HISTORIA INTERMINABLE_BEON ENTERTAINMENT_2022_TEATRO CALDERÓN,La Historia Interminable,Beon Entertainment,2022,2024,Teatro Calderón,True,False,37,20
LA JAULA DE LAS LOCAS_NOSTROMO LIVE_2018_TEATRO TÍVOLI,La Jaula de las Locas,Nostromo Live,2018,2020,Teatro Tívoli,True,False,38,6
LA LLAMADA_SUMA LATINA / LOS JAVIS_2013_TEATRO LARA,La Llamada,Suma Latina / Los Javis,2013,,Teatro Lara,True,True,39,24
LA BELLA Y LA BESTIA_STAGE ENTERTAINMENT_2012_TEATRO CALDERÓN,La bella y la bestia,Stage Entertainment,2012,2013,Teatro Calderón,True,False,40,20
"LA MOVIDA,EL MUSICAL_THEATRE PROPERTIES_2024_TEATRO COLISEUM","La movida,el musical",Theatre Properties,2024,2025,Teatro Coliseum,True,False,41,2
LOS MISERABLES_ATG ENTERTAINMENT_2025_TEATRO NUEVO APOLO,Los Miserables,ATG Entertainment,2025,,Teatro Nuevo Apolo,False,True,42,4
LOS PILARES DE LA TIERRA_BEON ENTERTAINMENT_2024_TEATRO EDP GRAN VÍA,Los Pilares de la Tierra,Beon Entertainment,2024,,Teatro EDP Gran Vía,True,True,43,11
LOS PRODUCTORES_NOSTROMO LIVE_2023_TEATRO TÍVOLI,Los Productores,Nostromo Live,2023,2024,Teatro Tívoli,True,False,44,6
LOS PUENTES DE MADISON_SMEDIA_2022_TEATRO EDP GRAN VÍA,Los puentes de Madison,SMedia,2022,2023,Teatro EDP Gran Vía,False,False,45,11
MALINCHE_HATCHWELL INVERSIONES MUSICALES S.L._2022_IFEMA MADRID LIVE,Malinche,Hatchwell Inversiones Musicales S.L.,2022,2025,Ifema Madrid Live,True,False,46,25
MAMMA MIA!_ATG ENTERTAINMENT_2022_TEATRO RIALTO,Mamma Mia!,ATG Entertainment,2022,,Teatro Rialto,True,True,47,22
MARI I CEL_DAGOLL DAGOM_2024_TEATRE VICTÒRIA,Mari i Cel,Dagoll Dagom,2024,2025,Teatre Victòria,True,False,48,26
MARTA TIENE UN MARCAPASOS_SMEDIA_2013_TEATRO EDP GRAN VÍA,Marta tiene un marcapasos,Smedia,2013,2014,Teatro EDP Gran Vía,True,False,49,11
MAS DE 100 MENTIRAS_DRIVE ENTERTAINMENT_2011_TEATRO RIALTO,Mas de 100 mentiras,Drive Entertainment,2011,2013,Teatro Rialto,True,False,50,22
MATILDA_ATG ENTERTAINMENT_2022_TEATRO NUEVO ALCALÁ,Matilda,ATG Entertainment,2022,2024,Teatro Nuevo Alcalá,False,False,51,3
MY FAIR LADY_STAGE ENTERTAINMENT_2012_AUDITORIO DE TENERIFE,My fair lady,Stage Entertainment,2012,2012,Auditorio de Tenerife,True,False,52,27
PEGADOS_FERRAN GONZÁLEZ & ALÍCIA SERRAT_2010_ALMERÍA TEATRE,Pegados,Ferran González & Alícia Serrat,2010,2013,Almería Teatre,True,False,53,28
"PRISCILLA, REINA DEL DESIERTO_ATG ENTERTAINMENT_2014_TEATRO NUEVO ALCALÁ","Priscilla, reina del desierto",ATG Entertainment,2014,2015,Teatro Nuevo Alcalá,True,False,54,3
QUIEN MATÓ A SHERLOCK HOLMES?_BEON ENTERTAINMENT_2020_TEATRO EDP GRAN VÍA,Quien mató a Sherlock Holmes?,Beon Entertainment,2020,2021,Teatro EDP Gran Vía,False,False,55,11
"ROMEO Y JULIETA, EL MUSICAL_THEATRE PROPERTIES_2021_TEATRO LA LATINA","Romeo y Julieta, el musical",Theatre Properties,2021,2024,Teatro La Latina,True,False,56,18
SCHOOL OF ROCK_LET'S GO COMPANY_2024_ESPACIO DELICIAS,School of Rock,Let's Go Company,2024,2024,Espacio Delicias,False,False,57,21
SISTER ACT_STAGE ENTERTAINMENT_2014_TEATRO TÍVOLI,Sister Act,Stage Entertainment,2014,2016,Teatro Tívoli,True,False,58,6
SISTER ACT_STAGE ENTERTAINMENT_2015_TEATRO NUEVO ALCALÁ,Sister Act,Stage Entertainment,2015,2015,Teatro Nuevo Alcalá,True,False,58,3
SONRISAS Y LÁGRIMAS_ATG ENTERTAINMENT_2011_TEATRO COLISEUM,Sonrisas y lágrimas,ATG Entertainment,2011,2013,Teatro Coliseum,True,False,59,2
THE BOOK OF MORMON_ATG ENTERTAINMENT_2023_TEATRO CALDERÓN,The Book of Mormon,ATG Entertainment,2023,,Teatro Calderón,False,True,60,20
THE HOLE_LET'S GO COMPANY_2011_TEATRO CALDERÓN,The Hole,Let's Go Company,2011,2023,Teatro Calderón,True,False,61,20
THE FULL MONTY_THEATRE PROPERTIES_2021_TEATRO RIALTO,The full monty,Theatre Properties,2021,2023,Teatro Rialto,True,False,62,22
TINA_STAGE ENTERTAINMENT_2021_TEATRO COLISEUM,Tina,Stage Entertainment,2021,2023,Teatro Coliseum,False,False,63,2
TOCANDO NUESTRA CANCIÓN_TEATRO DEL SOHO S.L._2024_TEATRO DEL SOHO,Tocando nuestra canción,Teatro del Soho S.L.,2024,2024,Teatro Del Soho,False,False,64,9
UNA RUBIA MUY LEGAL_PENTACIÓN ESPECTÁCULOS_2023_TEATRO LA LATINA,Una rubia muy legal,Pentación Espectáculos,2023,2024,Teatro La Latina,False,False,65,18
WE WILL ROCK YOU_TEATROPOLIS (GRAN TEATRO CAIXABANK PRÍNCIPE PÍO)_2023_GRAN TEATRO CAIXABANK PRÍNCIPE PÍO,We Will Rock You,Teatropolis (Gran Teatro CaixaBank Príncipe Pío),2023,,Gran Teatro CaixaBank Príncipe Pío,False,True,66,1
